time,kWh,Temperature
2015-01-01 00:00:00,3.67,1.2
2015-01-01 01:00:00,4.148,1.5
2015-01-01 02:00:00,4.342,1.6
2015-01-01 03:00:00,2.095,2.8
2015-01-01 04:00:00,0.985,3.4
2015-01-01 05:00:00,0.962,3.8
2015-01-01 06:00:00,2.467,3.9
2015-01-01 07:00:00,1.415,4.6
2015-01-01 08:00:00,1.313,4.3
2015-01-01 09:00:00,1.24,4.0
2015-01-01 10:00:00,1.249,3.9
2015-01-01 11:00:00,1.211,3.0
2015-01-01 12:00:00,2.797,3.5
2015-01-01 13:00:00,2.001,3.0
2015-01-01 14:00:00,1.828,1.6
2015-01-01 15:00:00,1.317,1.6
2015-01-01 16:00:00,1.211,0.4
2015-01-01 17:00:00,1.116,2.1
2015-01-01 18:00:00,1.238,0.2
2015-01-01 19:00:00,1.29,1.6
2015-01-01 20:00:00,2.671,1.1
2015-01-01 21:00:00,1.858,1.0
2015-01-01 22:00:00,3.89,1.5
2015-01-01 23:00:00,3.877,2.0
2015-01-02 00:00:00,3.694,2.0
2015-01-02 01:00:00,4.571,2.0
2015-01-02 02:00:00,3.73,1.8
2015-01-02 03:00:00,1.67,1.7
2015-01-02 04:00:00,1.809,1.1
2015-01-02 05:00:00,0.767,1.1
2015-01-02 06:00:00,1.642,1.3
2015-01-02 07:00:00,1.108,1.1
2015-01-02 08:00:00,1.512,1.0
2015-01-02 09:00:00,1.799,0.8
2015-01-02 10:00:00,2.908,0.6
2015-01-02 11:00:00,1.624,0.5
2015-01-02 12:00:00,1.726,0.5
2015-01-02 13:00:00,1.164,0.5
2015-01-02 14:00:00,1.077,0.6
2015-01-02 15:00:00,2.575,0.4
2015-01-02 16:00:00,4.233,0.2
2015-01-02 17:00:00,2.099,0.3
2015-01-02 18:00:00,1.695,0.2
2015-01-02 19:00:00,1.381,0.2
2015-01-02 20:00:00,0.936,0.2
2015-01-02 21:00:00,0.337,0.2
2015-01-02 22:00:00,2.0,0.3
2015-01-02 23:00:00,4.324,0.3
2015-01-03 00:00:00,3.779,0.3
2015-01-03 01:00:00,3.314,0.3
2015-01-03 02:00:00,3.921,0.3
2015-01-03 03:00:00,1.397,0.3
2015-01-03 04:00:00,0.388,0.3
2015-01-03 05:00:00,1.177,0.4
2015-01-03 06:00:00,1.452,0.4
2015-01-03 07:00:00,1.505,0.3
2015-01-03 08:00:00,1.907,0.2
2015-01-03 09:00:00,1.504,-0.9
2015-01-03 10:00:00,1.073,-1.5
2015-01-03 11:00:00,1.028,-2.3
2015-01-03 12:00:00,1.788,-2.7
2015-01-03 13:00:00,2.803,-3.2
2015-01-03 14:00:00,2.922,-3.6
